relative_path,profile_index,profile_date,prediction_date,time_difference_days,latitude,longitude,data_mode,depth_metres_prototype,argo_temperature_c,oceanembed_temperature_c
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,500.0,10.162519721984863,8.892910797271732
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,700.0,8.654278300041,7.53924899246216
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,1000.0,6.593733214314852,5.890246560333254
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,5.0,29.847000122070312,29.822621288085937
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,10.0,29.846924655557167,29.7345046204834
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,20.0,29.838428879017737,29.55827027819824
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,30.0,29.814693564717967,29.382034517089842
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,50.0,29.394040127524143,28.949056972595216
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,75.0,26.68811306126436,27.23356572546387
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,100.0,22.227711664168005,23.77703224969482
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,125.0,18.382049500085866,20.197230425781243
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,150.0,15.78199998505267,17.639383966125482
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,200.0,13.387221712642416,14.197057183074948
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,300.0,11.570928225890967,11.920547174804685
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,500.0,10.018191440935455,9.55570403326416
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,700.0,8.83050012588501,8.228665674560546
csio/2902770/profiles/D2902770_158.nc,0,2024-06-13,2024-06-13,0,12.382,89.197,D,1000.0,7.073952220824655,6.612230591979978
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,5.0,29.76036366561221,29.668977306915284
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,10.0,29.749264156512016,29.580818380279542
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,20.0,29.692388144913735,29.404503864074705
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,30.0,29.671529620411498,29.228189868255615
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,50.0,28.623733163452318,28.814975621276854
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,75.0,25.927345484756227,27.28317885906982
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,100.0,21.503868569488265,24.20761448278808
csio/2902770/profiles/D2902770_159.nc,0,2024-06-23,2024-06-23,0,12.167,88.703,D,125.0,18.443463716583025,20.6365017975769
